Артикул,Имя атрибута 1,Значение(-я) аттрибута(-ов) 1,Видимость атрибута 1,Глобальный атрибут 1,Имя атрибута 2,Значение(-я) аттрибута(-ов) 2,Видимость атрибута 2,Глобальный атрибут 2,Имя атрибута 3,Значение(-я) аттрибута(-ов) 3,Видимость атрибута 3,Глобальный атрибут 3,Имя атрибута 4,Значение(-я) аттрибута(-ов) 4,Видимость атрибута 4,Глобальный атрибут 4,Имя атрибута 5,Значение(-я) аттрибута(-ов) 5,Видимость атрибута 5,Глобальный атрибут 5,Pillowcases,70*70,1,1
38260,Size,170*210,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
38246,Size,170*210,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
38253,Size,170*210,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
37800,Size,170*210,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
37794,Size,170*210,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
419,Size,150*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
37343,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
31518,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
26514,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
31525,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
21328,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
21335,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
18427,Size,130*170,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
26606,Size,130*170,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
15747,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
11582,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
1509,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
18403,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
21663,Size,50*70,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
21670,Size,70*70,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
21694,Size,32*48*12,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
21700,Size,29*50*9,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
21717,Size,34*33*10,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
32447,Size,34*33*10,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
34113,Size,34*33*10,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
32430,Size,34*33*10,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
35547,Size,50*70,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
35554,Size,50*70,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
35561,Size,50*70,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
35578,Size,50*70,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
35592,Size,40*60,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
35585,Size,35*45,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
25852,Size,50*70,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
21618,Size,50*70,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
21625,Size,40*60,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
21632,Size,50*70,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
21649,Size,70*70,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
26774,Size,35*45,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
26781,Size,40*60,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
26750,Size,50*70,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
26767,Size,70*70,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
32355,Size,50*70,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
32362,Size,70*70,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
32423,Size,50*70,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
21724,Size,50*70,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
21731,Size,50*70,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
25722,Size,70*70,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
18595,Size,35*35,1,1,Country,Украина,1,1,,,,,Brand,IzziHome,1,1,,,,,,,,
18588,Size,35*35,1,1,Country,Украина,1,1,,,,,Brand,IzziHome,1,1,,,,,,,,
